date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:24:26	1472/1472	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:26%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:27	18436/18436	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:26%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:27	5708/5708	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:27%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:27	9916/9916	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:27%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:27	13100/13100	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:27%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:28	10128/10128	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:27%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:28	1480/1480	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:28%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:28	5972/5972	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:28%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:29	7564/7564	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:28%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:29	19720/19720	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:29%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:29	16220/16220	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:29%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/100/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/100/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:29	7708/7708	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:29%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/300/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/300/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:30	1536/1536	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:29%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/300/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/300/italic.html	(from https://preskool.dreamstechnologies.com/)
05:24:30	20216/20216	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:30%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/300/italic.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/300/italic.html	(from https://preskool.dreamstechnologies.com/)
